"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
