"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Сумма сбора монет будет увеличиваться постоянно мало."
