"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
