"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
